"tx","wc","x","y"
1,56,5.7111091614,28
0,0,116.75,462
1,10,81.666625977,24
1,2,7,3
1,9,85.708312988,12
1,22,15.5625,228
0,0,121.20831299,313
0,0,35.729156494,26
0,0,17.541656494,7
0,0,9.2916641235,4
1,48,67.083312988,123
1,6,25.4375,6
1,10,108.89581299,109
1,13,93.875,14
1,51,6.6666641235,14
1,8,8.6041641235,0
1,2,36.145812988,0
0,0,78.729125977,1
1,9,12.833328247,2
1,4,38.375,70
1,16,283.14575195,2369
1,18,144.875,281
0,0,16.041656494,5
0,0,98.872314453,2
0,0,43.729156494,0
0,0,143.75,553
0,0,191.1817627,52
1,6,22,2
1,43,74.319091797,19
1,37,108.27081299,25
0,0,111.29162598,6
1,19,64.583312988,15
1,7,19.729156494,49
1,24,163.27075195,102
1,1,42.40423584,26
1,35,7.3541641235,6
0,0,82.125,117
0,0,25.270828247,30
1,40,158.64575195,101
1,9,36.0625,182
1,44,136.77075195,8
0,0,28.958328247,148
1,9,20.208328247,43
0,0,48.895812988,72
1,168,88.895812988,174
1,11,1.5853652954,0
0,0,36,3
0,0,29.3125,13
0,0,17.489349365,2
0,0,7.375,0
1,8,90.375,171
1,37,83.041625977,155
0,0,149.79162598,159
0,0,113.22912598,92
0,0,48.208312988,118
1,16,172.375,14
0,0,48.395812988,3
1,10,10.9375,5
1,36,40.5625,2
1,22,43.291656494,56
0,0,9.2340393066,0
1,9,59.520812988,419
0,0,10.875,2
0,0,7.0833320618,0
0,0,77.854125977,1
0,0,5.4193534851,1
1,9,1.1875,0
0,0,9.0370330811,5
1,18,15.104164124,100
1,10,27.893615723,6
1,46,35.9375,98
0,0,31.104156494,4
1,9,53.297851563,501
0,0,71.979125977,18
0,0,23.458328247,0
1,15,46,49
1,20,36.979156494,9
1,10,12.723403931,8
1,21,5.4375,0
0,0,53.583312988,26
0,0,71.5,42
1,14,59.382965088,222
0,0,3.4705867767,0
0,0,26.979156494,104
1,12,29.625,23
0,0,32.958312988,100
0,0,25.833328247,0
0,0,6.6666641235,4
1,16,139.75,234
1,14,102.59088135,10
0,0,41.416656494,8
0,0,38.041656494,50
0,0,124.72912598,414
0,0,45.125,5
0,0,0.6923074722,0
0,0,56.979156494,50
1,9,51.416656494,16
1,17,3.6458320618,1
0,0,4.5744667053,3
0,0,116.47912598,68
1,12,43.145812988,12
0,0,30,5
0,0,104.70831299,2
0,0,63.354156494,0
0,0,18.111099243,10
0,0,23.764694214,6
0,0,42.354156494,378
1,12,107.83331299,45
0,0,59.319122314,0
1,11,46.522705078,0
0,0,0.125,0
1,5,20.833328247,82
0,0,248.04162598,108
1,12,12.234039307,0
0,0,162.9375,441
1,19,44.354156494,0
0,0,19.212753296,80
0,0,31.270828247,49
1,14,14.4375,1
0,0,9.2142791748,2
0,0,39.8125,235
0,0,26.166656494,125
0,0,232.10864258,1
0,0,92.625,157
0,0,3.25,0
1,3,61,57
0,0,45.604156494,22
1,27,9.0975570679,0
1,11,26.041656494,4
0,0,22.340423584,25
0,0,61.8125,212
1,24,7.8333320618,3
0,0,29.520828247,41
0,0,3.9767436981,0
1,4,58.255310059,151
0,0,78.234008789,15
1,14,96.234008789,135
1,25,62.270812988,321
0,0,70.604125977,44
0,0,33.916656494,14
0,0,1.3333330154,0
1,7,10.844444275,2
0,0,21.25,17
0,0,107.14581299,290
0,0,446.41650391,2
0,0,52.208312988,33
0,0,259.91650391,547
0,0,23.208328247,4
0,0,55.479156494,14
0,0,24.083328247,109
1,15,141.77075195,12
1,21,59.541656494,66
1,19,39.875,173
0,0,20.872329712,43
0,0,44.604156494,114
1,12,1.3488368988,0
0,0,8.4166641235,0
0,0,124.53186035,847
0,0,36.217376709,21
1,24,57.375,1
0,0,3.4791660309,1
1,49,50.833312988,41
0,0,71.489318848,0
1,22,1.9333324432,24
0,0,49.75,44
0,0,39.307678223,111
1,31,54.666656494,105
0,0,46.291656494,5
1,7,28.347824097,27
1,44,39.708312988,15
1,17,87.979125977,109
1,5,19.1875,3
1,8,41.520812988,0
0,0,140.35412598,483
0,0,159.36169434,6
1,6,102.33331299,45
0,0,75.395812988,2
