enrolldt,price,downpmt,monthdue,pmttype,use,age,gender,default
19970207,1243.85,5,5.81,1,0,23,1,1
19970406,1243.85,50,2.9,1,1,23,2,1
19970511,526.45,25,5.81,1,1,25,2,1
19970124,859,20,5.5,1,0,28,2,1
19970113,1174.48,60,5.83,1,0,22,1,1
19970527,814.95,25,5.83,1,0,32,2,1
19970605,814.95,25,5.83,1,0,23,2,1
19970303,1228,65,8.5,1,0,24,2,1
19970226,599,25,8.5,1,0,25,1,1
19970329,829.98,50,5.84,1,2,36,1,1
19970102,1042.64,37,5.86,1,1,36,2,1
19970112,1042.64,5,5.86,1,1,22,2,1
19970325,914.84,50,5.86,1,1,28,1,1
19970203,921.28,33,5.9,1,0,27,1,1
19970220,1037.74,100,2.92,1,0,24,1,1
19970329,829.98,50,5.83,1,1,30,1,1
19970113,645.43,25,5.93,1,0,23,1,1
19970116,979,5,0,1,0,22,2,1
19970805,475.94,20,4.24,1,1,22,2,1
19970906,1174.48,26,5.83,1,0,22,1,1
19970311,938,60,4,1,3,46,2,1
19970319,469,25,5,1,0,41,2,1
19970710,1329.31,50,4.33,1,0,20,1,1
19970729,1113.89,25,4.33,1,0,30,1,1
19971113,983.99,70,4.33,1,0,26,1,1
19970203,1105.47,30,11,1,0,28,1,1
19970108,1794.39,75,5.89,1,1,22,1,1
19971023,1079,100,10,1,0,25,2,1
19970107,825.74,32,5.3,1,0,51,2,1
19970206,859,5,5.5,1,0,22,1,1
19970603,928,51,5.5,1,0,25,1,1
19970910,1925,175,5.5,1,0,0,1,1
19970118,1277.12,100,5.72,1,0,31,2,1
19970204,645.43,26,5.92,1,0,26,2,1
19970212,1313.96,150,2.95,1,0,26,2,1
19970411,1047.53,40,5.89,1,1,27,2,1
19970208,1220.27,55,2.85,1,0,24,2,1
19970311,1270.98,50,5.69,1,0,31,1,1
19970423,619.97,50,2.85,1,0,60,1,1
19970114,545,19,0,1,0,24,1,1
19970204,1428,75,5.5,1,0,38,2,1
19970124,1059.77,55,5.96,1,0,25,1,1
19970207,1868.4,80,5.96,1,0,39,2,1
19970107,979,40,5.5,1,3,23,2,1
19970125,1428,30,5.5,1,0,27,1,1
19970130,859,5,5.5,1,1,24,1,1
19970228,1048.78,25,12,1,0,3,2,1
19970421,1179,25,11,1,0,38,1,1
19970729,829,19,4,1,1,41,2,1
19970208,859,75,2.75,1,0,23,1,1
19970215,859,5,5.5,1,0,37,2,1
19970318,899,100,4.12,1,0,34,1,1
19970430,859,35,5.5,1,0,24,2,1
19970526,999,40,5.5,1,0,22,2,1
19970206,949,5,4,1,0,24,2,1
19970212,949,5,4,1,0,28,2,1
19970217,689,5,4,1,0,30,2,1
19970112,463.37,231.69,10,1,0,23,2,1
19970228,345.72,35,28,1,0,21,2,1
19970307,517.03,43,21,1,0,23,1,1
19970213,859,5,5.5,1,0,21,1,1
19970211,633.44,25,5.82,1,0,24,2,1
19970221,949,5,4,1,0,29,1,1
19970308,1545.81,50,5.96,1,0,23,1,1
19970325,1059.77,50,5.96,1,0,24,1,1
19970118,1387.22,44,11,1,0,39,1,1
19970329,1109.56,30,5.83,1,0,26,2,1
19970402,814.95,25,5.83,1,0,27,1,1
19970702,497.01,19,4.24,1,0,21,1,1
19970122,789,37,4,1,0,28,1,1
19970209,1179,51,10,1,0,32,2,1
19970110,1059.77,100,5.96,1,0,26,1,1
19970120,1178,250,2.75,1,0,0,2,1
19970617,1545.81,30,5.96,1,0,26,1,1
19970407,549,50,2.75,1,3,31,1,1
19970412,949,50,2.75,1,0,27,2,1
19970626,1148,100,5.5,1,0,0,2,1
19970102,814.95,25,5.83,1,0,21,2,1
19970203,1143.47,5,5.83,1,0,33,2,1
19970117,1037.74,30,5.83,1,0,39,2,1
19970122,910.54,50,5.83,1,0,29,1,1
19970310,648.42,25,5.96,1,0,28,1,1
19970623,648.42,25,5.96,1,0,19,2,1
19970626,1545.81,30,5.96,1,0,27,1,1
19970729,1085.75,75,17,1,0,22,1,1
19970207,469,50,2.5,1,0,26,1,1
19970106,1677,125,10,1,0,0,2,1
19970106,979,40,8.5,1,0,22,2,1
19970210,1198,52,8.5,1,0,28,1,1
19970305,979,50,8.25,1,0,23,2,1
19980707,844,19,4,1,1,19,2,1
19980717,439,20,4,3,1,20,1,1
19980830,844,20,5,3,0,31,2,1
19981105,969,40,6,3,0,30,2,1
19970111,859,35,5.5,1,1,19,1,1
19970201,599,25,5.5,1,0,31,1,1
19970422,594.29,51,2.98,1,0,38,2,1
19970505,594.29,51,5.96,1,0,25,1,1
19970225,1047.53,5,5.89,1,1,23,1,1
19970428,994.03,50,2.95,1,1,54,2,1
19970122,1179,5,5.5,1,0,23,1,1
19970331,943,25,5.5,1,0,25,2,1
19970406,929,50,2.75,1,1,24,2,1
19970414,1353,75,2.75,1,0,29,2,1
19970506,2781.03,75,5.94,1,0,30,1,1
19970103,859,33,5.5,1,1,27,2,1
19970203,599,175,5.5,1,0,24,2,1
19970213,627.29,35,26,1,0,25,2,1
19970218,1680.57,10,17,1,0,34,1,1
19970306,787.04,100,14,1,0,42,2,1
19970101,999,40,5.5,1,0,27,1,1
19970407,699,25,8.5,1,0,22,1,1
19970224,1255.64,5,5.86,1,0,24,2,1
19970812,882.89,30,4.26,1,1,21,2,1
